"TIME";"DSC_ERROR_LEVEL";"MESSAGE";"DETAILS_ERROR";"DSC_ERROR_TYPE";"GUID_PROCESS_EXECUTION";"GUID_PROCESS_ERROR"
"04/09/2014, 15:11:16:722";"Debug";"Command: 5387E9079B9C4ED4A4289F3A885F34D8; Name: Perform naming validation";"";"Technical";"55BE5C81C6B043F49B14B6B46CBECD29";"9D7D7AEB2D1841409F7EA39C011B3FAC"
"04/09/2014, 15:11:16:727";"Debug";"Registering parameters for step 5D753AF3A265413C8749A39C011B3E85";"";"Technical";"55BE5C81C6B043F49B14B6B46CBECD29";"64952CF7D362449F89D9A39C011B3FAC"
"04/09/2014, 15:11:16:739";"Trace";"Set default parameter: pipeline_id; with value: 55BE5C81C6B043F49B14B6B46CBECD29";"";"Technical";"55BE5C81C6B043F49B14B6B46CBECD29";"9F06759B2F8F49149F70A39C011B3FB1"
"04/09/2014, 15:11:16:748";"Trace";"Set default parameter: tid; with value: 954321";"";"Technical";"55BE5C81C6B043F49B14B6B46CBECD29";"4FF5B3C3036648D0B575A39C011B3FB6"
"04/09/2014, 15:11:16:756";"Trace";"Set default parameter: side; with value: Platform";"";"Technical";"55BE5C81C6B043F49B14B6B46CBECD29";"20BC0A4BCCD9438CBDBDA39C011B3FB6"
"04/09/2014, 15:11:16:766";"Trace";"Set default parameter: file_id; with value: BE4B9DFFD9FA410DA5E782E6197DFB75";"";"Technical";"55BE5C81C6B043F49B14B6B46CBECD29";"0C5B367F68524A2682CBA39C011B3FBA"
"04/09/2014, 15:11:16:785";"Trace";"Set default parameter: file_path; with value: \\ind021\Webbyfiles\folders\954321\OUTPUT";"";"Technical";"55BE5C81C6B043F49B14B6B46CBECD29";"26381F2381D343E9BEDBA39C011B3FBF"
"04/09/2014, 15:11:16:791";"Trace";"Set default parameter: file_name; with value: P_SRF_LIDA_20140601_20140630_01_3.xls";"";"Technical";"55BE5C81C6B043F49B14B6B46CBECD29";"0B2BF5CC56054ABC9BB0A39C011B3FBF"
"04/09/2014, 15:11:16:800";"Trace";"Set default parameter: file_type_id; with value: SRF";"";"Technical";"55BE5C81C6B043F49B14B6B46CBECD29";"01977D0C85DF4F5794D0A39C011B3FC4"
"04/09/2014, 15:11:16:810";"Trace";"Set default parameter: container_type_id; with value: FILE";"";"Technical";"55BE5C81C6B043F49B14B6B46CBECD29";"17E34070C39042119692A39C011B3FC8"
"04/09/2014, 15:11:16:823";"Trace";"Set default parameter: transmission_mode; with value: 1";"";"Technical";"55BE5C81C6B043F49B14B6B46CBECD29";"CF281045DAED40AFA516A39C011B3FC8"
"04/09/2014, 15:11:16:846";"Trace";"Resolving parameter: file_name; with value: P_SRF_LIDA_20140601_20140630_01_3.xls;";"";"Technical";"55BE5C81C6B043F49B14B6B46CBECD29";"292A5D106DEB4605A137A39C011B3FD2"
"04/09/2014, 15:11:16:848";"Trace";"Resolving parameter: file_path; with value: \\ind021\Webbyfiles\folders\954321\OUTPUT;";"";"Technical";"55BE5C81C6B043F49B14B6B46CBECD29";"5257442DF4F1461E93C7A39C011B3FD2"
"04/09/2014, 15:11:16:849";"Trace";"Resolving parameter: file_type_id; with value: SRF;";"";"Technical";"55BE5C81C6B043F49B14B6B46CBECD29";"9443A4FCCDBC47B49B76A39C011B3FD2"
"04/09/2014, 15:11:16:860";"Trace";"Resolving parameter: side; with value: Platform;";"";"Technical";"55BE5C81C6B043F49B14B6B46CBECD29";"5265BF29BE1D418B9D68A39C011B3FD6"
"04/09/2014, 15:11:16:873";"Trace";"Resolving parameter: tid; with value: 954321;";"";"Technical";"55BE5C81C6B043F49B14B6B46CBECD29";"671023FF1A7749E984C9A39C011B3FDB"
"04/09/2014, 15:11:16:880";"Trace";"Resolving parameter: file_name; with value: P_SRF_LIDA_20140601_20140630_01_3.xls;";"";"Technical";"55BE5C81C6B043F49B14B6B46CBECD29";"31DD482294B540808D9BA39C011B3FDB"
"04/09/2014, 15:11:16:932";"Trace";"Set execution parameter: lid; Value: LIDA";"";"Technical";"55BE5C81C6B043F49B14B6B46CBECD29";"2749DBF8AC1846C4A6E4A39C011B3FE9"
"04/09/2014, 15:11:16:947";"Trace";"Set execution parameter: cuid; Value: 017977";"";"Technical";"55BE5C81C6B043F49B14B6B46CBECD29";"A4961D81230A469483ADA39C011B3FEE"
"04/09/2014, 15:11:16:969";"Trace";"Set execution parameter: cid; Value: 010675";"";"Technical";"55BE5C81C6B043F49B14B6B46CBECD29";"13A1D8DBDED74B528C81A39C011B3FF7"
"04/09/2014, 15:11:16:984";"Trace";"Set execution parameter: pid; Value: 954321";"";"Technical";"55BE5C81C6B043F49B14B6B46CBECD29";"4AFE5653A5FE4B7583A7A39C011B3FFC"
"04/09/2014, 15:11:17:017";"Trace";"Set execution parameter: att_status; Value: 10";"";"Technical";"55BE5C81C6B043F49B14B6B46CBECD29";"23EC341663F646209C03A39C011B4005"
"04/09/2014, 15:11:17:038";"Trace";"Set execution parameter: local_file_name; Value: 3";"";"Technical";"55BE5C81C6B043F49B14B6B46CBECD29";"268E67D000F24B0D8EC5A39C011B400A"
"04/09/2014, 15:11:17:059";"Trace";"Set execution parameter: file_type_id; Value: SRF";"";"Technical";"55BE5C81C6B043F49B14B6B46CBECD29";"EE00BE2E9DE34370B0B2A39C011B4013"
"04/09/2014, 15:11:17:077";"Trace";"Set execution parameter: file_sequence; Value: 01";"";"Technical";"55BE5C81C6B043F49B14B6B46CBECD29";"79A8685F89184EDFB213A39C011B4018"
