"TIME";"DSC_ERROR_LEVEL";"MESSAGE";"DETAILS_ERROR";"DSC_ERROR_TYPE";"GUID_PROCESS_EXECUTION";"GUID_PROCESS_ERROR"
"17/10/2014, 10:23:02:582";"Trace";"Set parameter: input_file_info_creation_date; with value: ";"";"Technical";"9181181E3C954DF6AF60CA400A4C5F95";"63F84EC49EB14FA08530A3C700CC14FF"
"17/10/2014, 10:23:02:598";"Trace";"Set parameter: input_file_info_file_status_id; with value: ";"";"Technical";"9181181E3C954DF6AF60CA400A4C5F95";"48B0244CD0AB4386842DA3C700CC1503"
"17/10/2014, 10:23:02:658";"Trace";"Set parameter: input_file_info_file_size; with value: ";"";"Technical";"9181181E3C954DF6AF60CA400A4C5F95";"49BFECC9C1C9421387F7A3C700CC1516"
"17/10/2014, 10:23:02:681";"Trace";"Set parameter: input_file_info_reception_date; with value: ";"";"Technical";"9181181E3C954DF6AF60CA400A4C5F95";"36BC740053CC4AE9BBF7A3C700CC151B"
"17/10/2014, 10:23:02:701";"Trace";"Resolving parameter: file_name; with value: EP2_010255_20141017_102257_FR003814_000000_0000SIF_00006_FILE_SIFsignOffV1.txt;";"";"Technical";"9181181E3C954DF6AF60CA400A4C5F95";"CE8B4E6B7B244DE5970CA3C700CC1520"
"17/10/2014, 10:23:02:723";"Trace";"Resolving parameter: file_path; with value: \\ind021\NPRSin\{6497ec54b333431da47fc0e9ab4ea80b};";"";"Technical";"9181181E3C954DF6AF60CA400A4C5F95";"2A3C6071DBC741869687A3C700CC1529"
"17/10/2014, 10:23:02:724";"Trace";"Resolving parameter: file_type_id; with value: SIF;";"";"Technical";"9181181E3C954DF6AF60CA400A4C5F95";"5E2332B36B724B7483C6A3C700CC1529"
"17/10/2014, 10:23:02:737";"Trace";"Resolving parameter: file_id; with value: 1696B1E514CC4B1AB031F6380A2DC352;";"";"Technical";"9181181E3C954DF6AF60CA400A4C5F95";"0133F634ED704B67A001A3C700CC152E"
"17/10/2014, 10:23:02:760";"Trace";"Resolving parameter: file_name; with value: EP2_010255_20141017_102257_FR003814_000000_0000SIF_00006_FILE_SIFsignOffV1.txt;";"";"Technical";"9181181E3C954DF6AF60CA400A4C5F95";"BE333A80E4F94E539301A3C700CC1532"
"17/10/2014, 10:23:02:768";"Trace";"Resolving parameter: file_path; with value: \\ind021\NPRSin\{6497ec54b333431da47fc0e9ab4ea80b};";"";"Technical";"9181181E3C954DF6AF60CA400A4C5F95";"7D70C7CFA2204E368462A3C700CC1537"
"17/10/2014, 10:23:02:774";"Trace";"Resolving parameter: file_path; with value: \\ind021\NPRSin\{6497ec54b333431da47fc0e9ab4ea80b};";"";"Technical";"9181181E3C954DF6AF60CA400A4C5F95";"9694B5CA42A4401D8C62A3C700CC1537"
"17/10/2014, 10:23:02:796";"Trace";"Resolving parameter: file_id; with value: 1696B1E514CC4B1AB031F6380A2DC352;";"";"Technical";"9181181E3C954DF6AF60CA400A4C5F95";"5A8CB6B35BFE469EA90FA3C700CC153C"
"17/10/2014, 10:23:02:806";"Trace";"Resolving parameter: file_name; with value: EP2_010255_20141017_102257_FR003814_000000_0000SIF_00006_FILE_SIFsignOffV1.txt;";"";"Technical";"9181181E3C954DF6AF60CA400A4C5F95";"F90B9AE31A9F4CC3A1B7A3C700CC1540"
"17/10/2014, 10:23:02:817";"Trace";"Get execution parameter: input_file_info_file_path; Value: ";"";"Technical";"9181181E3C954DF6AF60CA400A4C5F95";"93F6E2A96BC84EA6931EA3C700CC1545"
"17/10/2014, 10:23:02:846";"Trace";"Get execution parameter: input_file_info_reception_date; Value: ";"";"Technical";"9181181E3C954DF6AF60CA400A4C5F95";"12E31E71B859428EB443A3C700CC154A"
"17/10/2014, 10:23:02:855";"Trace";"Get execution parameter: input_file_info_file_size; Value: ";"";"Technical";"9181181E3C954DF6AF60CA400A4C5F95";"F913D7DA2CA642469A28A3C700CC154E"
"17/10/2014, 10:23:02:869";"Trace";"Get execution parameter: input_file_info_file_status_id; Value: ";"";"Technical";"9181181E3C954DF6AF60CA400A4C5F95";"6C970F6E073F4E71B23CA3C700CC1553"
"17/10/2014, 10:23:02:893";"Trace";"Get execution parameter: input_file_info_error; Value: ";"";"Technical";"9181181E3C954DF6AF60CA400A4C5F95";"39ABE461DD7F48A68769A3C700CC155D"
"17/10/2014, 10:23:02:902";"Trace";"Get execution parameter: input_file_info_ref_parent; Value: ";"";"Technical";"9181181E3C954DF6AF60CA400A4C5F95";"873003B673F14559A2E1A3C700CC155D"
"17/10/2014, 10:23:02:914";"Trace";"Get execution parameter: input_file_info_creation_date; Value: ";"";"Technical";"9181181E3C954DF6AF60CA400A4C5F95";"ECBF7B7CAB704243A3A3A3C700CC1561"
"17/10/2014, 10:23:02:929";"Trace";"Get execution parameter: input_file_info_receive_folder; Value: ";"";"Technical";"9181181E3C954DF6AF60CA400A4C5F95";"9F05A38BEFBF4F8DAFF6A3C700CC1566"
"17/10/2014, 10:23:02:938";"Trace";"Get execution parameter: input_file_info_report_folder; Value: ";"";"Technical";"9181181E3C954DF6AF60CA400A4C5F95";"C5C33B2D45F2453CB699A3C700CC1566"
"17/10/2014, 10:23:03:017";"Trace";"Set execution parameter: sif_lgp_queue_type; Value: SMALL";"";"Technical";"9181181E3C954DF6AF60CA400A4C5F95";"096CB00EEE534FBB9CB6A3C700CC157D"
"17/10/2014, 10:23:03:019";"Trace";"Resolving parameter: file_name; with value: EP2_010255_20141017_102257_FR003814_000000_0000SIF_00006_FILE_SIFsignOffV1.txt;";"";"Technical";"9181181E3C954DF6AF60CA400A4C5F95";"7BD0812588F84E5198F7A3C700CC1582"
"17/10/2014, 10:23:03:029";"Trace";"Resolving parameter: file_path; with value: \\ind021\NPRSin\{6497ec54b333431da47fc0e9ab4ea80b};";"";"Technical";"9181181E3C954DF6AF60CA400A4C5F95";"267C977459B847C6A8F1A3C700CC1582"
"17/10/2014, 10:23:03:042";"Debug";"Calling send alert for generator Adp.Streamline.ProductionLine.Domain.InputFileInfoAdapterCommandEvent for 0 event(s) and 3 parameter(s)";"";"Technical";"9181181E3C954DF6AF60CA400A4C5F95";"A8C808F45CF14DC2A3E6A3C700CC1587"
"17/10/2014, 10:23:03:051";"Info";"End step 1 execution successfully";"";"Technical";"9181181E3C954DF6AF60CA400A4C5F95";"AC32C1F5FECB4A9EA2B7A3C700CC158B"
"17/10/2014, 10:23:03:076";"Info";">> Begin execution step: A970DD5AB9D545908CFBA3C700CC126A; with order: 2";"";"Technical";"9181181E3C954DF6AF60CA400A4C5F95";"BE4CC7A91AA547119210A3C700CC1590"
