"TIME";"DSC_ERROR_LEVEL";"MESSAGE";"DETAILS_ERROR";"DSC_ERROR_TYPE";"GUID_PROCESS_EXECUTION";"GUID_PROCESS_ERROR"
"05/09/2014, 13:17:06:237";"Debug";"Command: 5387E9079B9C4ED4A4289F3A885F34D8; Name: Perform naming validation";"";"Technical";"ADA2D73F31084922979D751312199BD9";"0EB9C739C8FF459A9378A39D00FBE396"
"05/09/2014, 13:17:06:244";"Debug";"Registering parameters for step 7C0839932F1F49458F0FA39D00FBE281";"";"Technical";"ADA2D73F31084922979D751312199BD9";"C98303E2ABFC4CAD97FCA39D00FBE39A"
"05/09/2014, 13:17:06:253";"Trace";"Set default parameter: pipeline_id; with value: ADA2D73F31084922979D751312199BD9";"";"Technical";"ADA2D73F31084922979D751312199BD9";"D22AAE3528884980A9CDA39D00FBE39A"
"05/09/2014, 13:17:06:263";"Trace";"Set default parameter: tid; with value: 954321";"";"Technical";"ADA2D73F31084922979D751312199BD9";"24A081715E7A4C13AECCA39D00FBE39F"
"05/09/2014, 13:17:06:270";"Trace";"Set default parameter: side; with value: Platform";"";"Technical";"ADA2D73F31084922979D751312199BD9";"669028277EB14258936EA39D00FBE39F"
"05/09/2014, 13:17:06:293";"Trace";"Set default parameter: file_id; with value: 8F442230CBF3481A8D993D244DA5B3B6";"";"Technical";"ADA2D73F31084922979D751312199BD9";"4FA8407B70FB4CE1B58FA39D00FBE3A9"
"05/09/2014, 13:17:06:305";"Trace";"Set default parameter: file_path; with value: \\ind021\Webbyfiles\folders\954321\OUTPUT";"";"Technical";"ADA2D73F31084922979D751312199BD9";"BE7DAE09E0B845ECB0C5A39D00FBE3AD"
"05/09/2014, 13:17:06:320";"Trace";"Set default parameter: file_name; with value: P_SLP_LIDA_20140201_20140228_00_V2_0000_00000_FILE_NOE_CONSEJEROS-DIRECCIαααN.pdf";"";"Technical";"ADA2D73F31084922979D751312199BD9";"04C8E89E082A44D19551A39D00FBE3B2"
"05/09/2014, 13:17:06:330";"Trace";"Set default parameter: file_type_id; with value: SLP";"";"Technical";"ADA2D73F31084922979D751312199BD9";"287A6A9065164CB69A33A39D00FBE3B2"
"05/09/2014, 13:17:06:338";"Trace";"Set default parameter: container_type_id; with value: FILE";"";"Technical";"ADA2D73F31084922979D751312199BD9";"1F7BEFC170864ACEA3BAA39D00FBE3B7"
"05/09/2014, 13:17:06:350";"Trace";"Set default parameter: transmission_mode; with value: 1";"";"Technical";"ADA2D73F31084922979D751312199BD9";"1996C778F47D49A6ACF6A39D00FBE3BB"
"05/09/2014, 13:17:06:369";"Trace";"Resolving parameter: file_name; with value: P_SLP_LIDA_20140201_20140228_00_V2_0000_00000_FILE_NOE_CONSEJEROS-DIRECCIαααN.pdf;";"";"Technical";"ADA2D73F31084922979D751312199BD9";"01812ED4BB0F4EA789A6A39D00FBE3C0"
"05/09/2014, 13:17:06:377";"Trace";"Resolving parameter: file_path; with value: \\ind021\Webbyfiles\folders\954321\OUTPUT;";"";"Technical";"ADA2D73F31084922979D751312199BD9";"B787F8D97E9048B0BC8CA39D00FBE3C0"
"05/09/2014, 13:17:06:388";"Trace";"Resolving parameter: file_type_id; with value: SLP;";"";"Technical";"ADA2D73F31084922979D751312199BD9";"B429FC18C9F047B3B1D3A39D00FBE3C5"
"05/09/2014, 13:17:06:425";"Trace";"Resolving parameter: side; with value: Platform;";"";"Technical";"ADA2D73F31084922979D751312199BD9";"DAA46B4F0F064E3E8400A39D00FBE3CE"
"05/09/2014, 13:17:06:437";"Trace";"Resolving parameter: tid; with value: 954321;";"";"Technical";"ADA2D73F31084922979D751312199BD9";"98805774A67E467BAAB1A39D00FBE3D3"
"05/09/2014, 13:17:06:444";"Trace";"Resolving parameter: file_name; with value: P_SLP_LIDA_20140201_20140228_00_V2_0000_00000_FILE_NOE_CONSEJEROS-DIRECCIαααN.pdf;";"";"Technical";"ADA2D73F31084922979D751312199BD9";"46FC3C2A81064A219C6CA39D00FBE3D7"
"05/09/2014, 13:17:06:509";"Trace";"Set execution parameter: lid; Value: LIDA";"";"Technical";"ADA2D73F31084922979D751312199BD9";"BFFE174D8C874D4EBBD2A39D00FBE3EA"
"05/09/2014, 13:17:06:527";"Trace";"Set execution parameter: cuid; Value: 017977";"";"Technical";"ADA2D73F31084922979D751312199BD9";"8AF96F1666E444EBA10AA39D00FBE3EF"
"05/09/2014, 13:17:06:586";"Trace";"Set execution parameter: cid; Value: 010675";"";"Technical";"ADA2D73F31084922979D751312199BD9";"3F79654F5BD2436E8DF4A39D00FBE402"
"05/09/2014, 13:17:06:601";"Trace";"Set execution parameter: pid; Value: 954321";"";"Technical";"ADA2D73F31084922979D751312199BD9";"E3E62D0994874F85B530A39D00FBE406"
"05/09/2014, 13:17:06:623";"Trace";"Set execution parameter: att_status; Value: 10";"";"Technical";"ADA2D73F31084922979D751312199BD9";"4324FC5693F746FEB6E4A39D00FBE40B"
"05/09/2014, 13:17:06:640";"Trace";"Set execution parameter: local_file_name; Value: CONSEJEROS-DIRECCIαααN";"";"Technical";"ADA2D73F31084922979D751312199BD9";"4385DCC83C094808839CA39D00FBE410"
"05/09/2014, 13:17:06:665";"Trace";"Set execution parameter: file_type_id; Value: SLP";"";"Technical";"ADA2D73F31084922979D751312199BD9";"B720CBF620E640AE88D9A39D00FBE419"
