"TIME";"DSC_ERROR_LEVEL";"MESSAGE";"DETAILS_ERROR";"DSC_ERROR_TYPE";"GUID_PROCESS_EXECUTION";"GUID_PROCESS_ERROR"
"09/10/2014, 15:55:20:318";"Trace";"Set parameter: input_file_info_report_folder; with value: ";"";"Technical";"CCF90E27DBD04F509C995D876DA9C944";"ED6D9ED43FD44848BC8CA3BF012759B9"
"09/10/2014, 15:55:20:346";"Trace";"Set parameter: input_file_info_receive_folder; with value: ";"";"Technical";"CCF90E27DBD04F509C995D876DA9C944";"0C7817AEF6CC4B80BF35A3BF012759C2"
"09/10/2014, 15:55:20:371";"Trace";"Set parameter: input_file_info_ref_parent; with value: ";"";"Technical";"CCF90E27DBD04F509C995D876DA9C944";"0BE3DB70F2A54FDC9741A3BF012759C7"
"09/10/2014, 15:55:20:405";"Trace";"Set parameter: input_file_info_creation_date; with value: ";"";"Technical";"CCF90E27DBD04F509C995D876DA9C944";"FB1542FEC080401C8434A3BF012759D0"
"09/10/2014, 15:55:20:423";"Trace";"Set parameter: input_file_info_file_status_id; with value: ";"";"Technical";"CCF90E27DBD04F509C995D876DA9C944";"F5F8BEABD0C8447FACA5A3BF012759DA"
"09/10/2014, 15:55:20:447";"Trace";"Set parameter: input_file_info_file_size; with value: ";"";"Technical";"CCF90E27DBD04F509C995D876DA9C944";"A68289D73A33406D9D61A3BF012759DE"
"09/10/2014, 15:55:20:472";"Trace";"Set parameter: input_file_info_reception_date; with value: ";"";"Technical";"CCF90E27DBD04F509C995D876DA9C944";"07ABF09EB588475C87A5A3BF012759E8"
"09/10/2014, 15:55:20:510";"Trace";"Resolving parameter: file_name; with value: EP2_010295_20141009_155515_IE005802_A80200_0000SIF_00071_FILE_MainSIFSignOff.txt;";"";"Technical";"CCF90E27DBD04F509C995D876DA9C944";"8D9DD319300840C09255A3BF012759F1"
"09/10/2014, 15:55:20:527";"Trace";"Resolving parameter: file_path; with value: \\ind021\NPRSin\{f243531d8b614cb9ac13fd3cc2cfcaeb};";"";"Technical";"CCF90E27DBD04F509C995D876DA9C944";"6B4AF4357DB841658A9DA3BF012759F6"
"09/10/2014, 15:55:20:540";"Trace";"Resolving parameter: file_type_id; with value: SIF;";"";"Technical";"CCF90E27DBD04F509C995D876DA9C944";"A84EEF3F3290476C9C9EA3BF012759FA"
